Hexa,Instruction,Type
01ec,"add esp, ebp",2-byte
01ed,"add ebp, ebp",2-byte
01ee,"add esi, ebp",2-byte
01ef,"add edi, ebp",2-byte
01f0,"add eax, esi",2-byte
01f1,"add ecx, esi",2-byte
01f2,"add edx, esi",2-byte
01f3,"add ebx, esi",2-byte
01f4,"add esp, esi",2-byte
01f5,"add ebp, esi",2-byte
01f6,"add esi, esi",2-byte
01f7,"add edi, esi",2-byte
01f8,"add eax, edi",2-byte
01f9,"add ecx, edi",2-byte
01fa,"add edx, edi",2-byte
01fb,"add ebx, edi",2-byte
01fc,"add esp, edi",2-byte
01fd,"add ebp, edi",2-byte
01fe,"add esi, edi",2-byte
01ff,"add edi, edi",2-byte
0200,"add al, byte ptr [rax]",2-byte
0201,"add al, byte ptr [rcx]",2-byte
0202,"add al, byte ptr [rdx]",2-byte
0203,"add al, byte ptr [rbx]",2-byte
0206,"add al, byte ptr [rsi]",2-byte
0207,"add al, byte ptr [rdi]",2-byte
0208,"add cl, byte ptr [rax]",2-byte
0209,"add cl, byte ptr [rcx]",2-byte
020a,"add cl, byte ptr [rdx]",2-byte
020b,"add cl, byte ptr [rbx]",2-byte
020e,"add cl, byte ptr [rsi]",2-byte
020f,"add cl, byte ptr [rdi]",2-byte
0210,"add dl, byte ptr [rax]",2-byte
0211,"add dl, byte ptr [rcx]",2-byte
0212,"add dl, byte ptr [rdx]",2-byte
0213,"add dl, byte ptr [rbx]",2-byte
0216,"add dl, byte ptr [rsi]",2-byte
0217,"add dl, byte ptr [rdi]",2-byte
0218,"add bl, byte ptr [rax]",2-byte
0219,"add bl, byte ptr [rcx]",2-byte
021a,"add bl, byte ptr [rdx]",2-byte
021b,"add bl, byte ptr [rbx]",2-byte
021e,"add bl, byte ptr [rsi]",2-byte
021f,"add bl, byte ptr [rdi]",2-byte
0220,"add ah, byte ptr [rax]",2-byte
0221,"add ah, byte ptr [rcx]",2-byte
0222,"add ah, byte ptr [rdx]",2-byte
0223,"add ah, byte ptr [rbx]",2-byte
0226,"add ah, byte ptr [rsi]",2-byte
0227,"add ah, byte ptr [rdi]",2-byte
0228,"add ch, byte ptr [rax]",2-byte
0229,"add ch, byte ptr [rcx]",2-byte
022a,"add ch, byte ptr [rdx]",2-byte
022b,"add ch, byte ptr [rbx]",2-byte
022e,"add ch, byte ptr [rsi]",2-byte
022f,"add ch, byte ptr [rdi]",2-byte
0230,"add dh, byte ptr [rax]",2-byte
0231,"add dh, byte ptr [rcx]",2-byte
0232,"add dh, byte ptr [rdx]",2-byte
0233,"add dh, byte ptr [rbx]",2-byte
0236,"add dh, byte ptr [rsi]",2-byte
0237,"add dh, byte ptr [rdi]",2-byte
0238,"add bh, byte ptr [rax]",2-byte
0239,"add bh, byte ptr [rcx]",2-byte
023a,"add bh, byte ptr [rdx]",2-byte
023b,"add bh, byte ptr [rbx]",2-byte
023e,"add bh, byte ptr [rsi]",2-byte
023f,"add bh, byte ptr [rdi]",2-byte
02c0,"add al, al",2-byte
02c1,"add al, cl",2-byte
02c2,"add al, dl",2-byte
02c3,"add al, bl",2-byte
02c4,"add al, ah",2-byte
02c5,"add al, ch",2-byte
02c6,"add al, dh",2-byte
02c7,"add al, bh",2-byte
02c8,"add cl, al",2-byte
02c9,"add cl, cl",2-byte
02ca,"add cl, dl",2-byte
02cb,"add cl, bl",2-byte
02cc,"add cl, ah",2-byte
02cd,"add cl, ch",2-byte
02ce,"add cl, dh",2-byte
02cf,"add cl, bh",2-byte
02d0,"add dl, al",2-byte
02d1,"add dl, cl",2-byte
02d2,"add dl, dl",2-byte
02d3,"add dl, bl",2-byte
02d4,"add dl, ah",2-byte
02d5,"add dl, ch",2-byte
02d6,"add dl, dh",2-byte
02d7,"add dl, bh",2-byte
02d8,"add bl, al",2-byte
02d9,"add bl, cl",2-byte
02da,"add bl, dl",2-byte
02db,"add bl, bl",2-byte
02dc,"add bl, ah",2-byte
02dd,"add bl, ch",2-byte
02de,"add bl, dh",2-byte
02df,"add bl, bh",2-byte
02e0,"add ah, al",2-byte
02e1,"add ah, cl",2-byte
02e2,"add ah, dl",2-byte
02e3,"add ah, bl",2-byte
02e4,"add ah, ah",2-byte
02e5,"add ah, ch",2-byte
02e6,"add ah, dh",2-byte
02e7,"add ah, bh",2-byte
02e8,"add ch, al",2-byte
02e9,"add ch, cl",2-byte
02ea,"add ch, dl",2-byte
02eb,"add ch, bl",2-byte
02ec,"add ch, ah",2-byte
02ed,"add ch, ch",2-byte
02ee,"add ch, dh",2-byte
02ef,"add ch, bh",2-byte
02f0,"add dh, al",2-byte
02f1,"add dh, cl",2-byte
02f2,"add dh, dl",2-byte
02f3,"add dh, bl",2-byte
02f4,"add dh, ah",2-byte
02f5,"add dh, ch",2-byte
02f6,"add dh, dh",2-byte
02f7,"add dh, bh",2-byte
02f8,"add bh, al",2-byte
02f9,"add bh, cl",2-byte
02fa,"add bh, dl",2-byte
02fb,"add bh, bl",2-byte
02fc,"add bh, ah",2-byte
02fd,"add bh, ch",2-byte
02fe,"add bh, dh",2-byte
02ff,"add bh, bh",2-byte
0300,"add eax, dword ptr [rax]",2-byte
0301,"add eax, dword ptr [rcx]",2-byte
0302,"add eax, dword ptr [rdx]",2-byte
0303,"add eax, dword ptr [rbx]",2-byte
0306,"add eax, dword ptr [rsi]",2-byte
0307,"add eax, dword ptr [rdi]",2-byte
0308,"add ecx, dword ptr [rax]",2-byte
0309,"add ecx, dword ptr [rcx]",2-byte
030a,"add ecx, dword ptr [rdx]",2-byte
030b,"add ecx, dword ptr [rbx]",2-byte
030e,"add ecx, dword ptr [rsi]",2-byte
030f,"add ecx, dword ptr [rdi]",2-byte
0310,"add edx, dword ptr [rax]",2-byte
0311,"add edx, dword ptr [rcx]",2-byte
0312,"add edx, dword ptr [rdx]",2-byte
0313,"add edx, dword ptr [rbx]",2-byte
0316,"add edx, dword ptr [rsi]",2-byte
0317,"add edx, dword ptr [rdi]",2-byte
0318,"add ebx, dword ptr [rax]",2-byte
0319,"add ebx, dword ptr [rcx]",2-byte
031a,"add ebx, dword ptr [rdx]",2-byte
031b,"add ebx, dword ptr [rbx]",2-byte
031e,"add ebx, dword ptr [rsi]",2-byte
031f,"add ebx, dword ptr [rdi]",2-byte
0320,"add esp, dword ptr [rax]",2-byte
0321,"add esp, dword ptr [rcx]",2-byte
0322,"add esp, dword ptr [rdx]",2-byte
